Gene_Name	nextprot_accession	primary_isoform	Ensembl_Accession	RefSeq_Accession	Uniprot_Accession	Chromosome	Start	End	n_neXtProt_entry	Protein_existence	PeptideAtlas_Category	nobs	Description	accession
COPT3	AT5G59040.1	AT5G59040.1		NP_200712.1	Q9FGU8	5	23836724	23837179	1		canonical	2	 copper transporter 3 	AT5G59040.1
Q8W568	AT1G73750.1	AT1G73750.1		NP_565071.1	Q8W568	1	27736659	27738887	1		canonical	16	 alpha/beta hydrolase family protein 	AT1G73750.1
Q8VYJ0	AT1G18360.1	AT1G18360.1		NP_173272.2	Q8VYJ0	1	6316996	6319204	1		canonical	12	 alpha/beta-Hydrolases superfamily protein 	AT1G18360.1
DI196	AT5G26990.1	AT5G26990.1		NP_198051.1	Q6NM26	5	9491366	9493639	1		canonical	5	 Drought-responsive family protein 	AT5G26990.1
CAND7	AT5G18520.1	AT5G18520.1		NP_197353.1	F4JY11	5	6145027	6146349	1		canonical	33	 Lung seven transmembrane receptor family protein 	AT5G18520.1
F4K5W6	AT5G37160.1	AT5G37160.1		NP_198532.2	F4K5W6	5	14705426	14706981	1		marginally distinguished	2	 P-loop nucleoside triphosphate hydrolase superfamily protein 	AT5G37160.1
Y1652	AT1G65250.1	AT1G65250.1		NP_176704.1	O80795	1	24234432	24235550	1		canonical	5	 Protein kinase superfamily protein 	AT1G65250.1
A0A1P8AVF2	AT1G76280.5	AT1G76280.5		NP_001322864.1	A0A1P8AVF2	1	28617948	28622581	1		canonical	34	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT1G76280.5
Q0WVC6	AT3G56590.1	AT3G56590.1		NP_191218.2	Q0WVC6	3	20965105	20967675	1		canonical	3	 hydroxyproline-rich glycoprotein family protein 	AT3G56590.1
B3H711	AT3G01961.1	AT3G01961.1		NP_001118553.1	B3H711	3	325181	325351	1		not observed		 hypothetical protein 	AT3G01961.1
PTR24	AT1G72130.1	AT1G72130.1		NP_001321216.1	Q8RX67	1	27137201	27139223	1		canonical	5	 Major facilitator superfamily protein 	AT1G72130.1
Q9SVW3	AT4G18080.1	AT4G18080.1		NP_193542.1	Q9SVW3	4	10033210	10033935	1		not observed		 transmembrane protein 	AT4G18080.1
ARL8B	AT5G67560.1	AT5G67560.1		NP_569051.1	Q93Y31	5	26950579	26951913	1		canonical	28	 ADP-ribosylation factor-like A1D 	AT5G67560.1
RPI4	AT5G44520.1	AT5G44520.1		NP_199265.1	Q9FI13	5	17934610	17936441	1		canonical	20	 NagB/RpiA/CoA transferase-like superfamily protein 	AT5G44520.1
Q9ZVB8	AT2G41330.1	AT2G41330.1		NP_181664.1	Q9ZVB8	2	17227067	17228275	1		canonical	7	 Glutaredoxin family protein 	AT2G41330.1
OFT35	AT5G35570.1	AT5G35570.1		NP_568528.2	Q94BY4	5	13750101	13753383	1		canonical	27	 O-fucosyltransferase family protein 	AT5G35570.1
Q4V3D1	AT1G48620.1	AT1G48620.1		NP_175295.1	Q4V3D1	1	17974148	17976301	1		canonical	91	 high mobility group A5 	AT1G48620.1
LLG2	AT2G20700.1	AT2G20700.1		NP_179662.2	Q6NLF4	2	8925003	8925714	1		canonical	8	 LORELEI-LIKE-GPI ANCHORED PROTEIN 2 	AT2G20700.1
ATL63	AT5G58580.1	AT5G58580.1		NP_200666.1	Q9LUZ9	5	23676906	23677832	1		weak	1	 TOXICOS EN LEVADURA 63 	AT5G58580.1
Q9S6Z9	AT3G07710.1	AT3G07710.1		NP_187428.1	Q9S6Z9	3	2464336	2464773	1		not observed		 hypothetical protein 	AT3G07710.1
DML3	AT4G34060.1	AT4G34060.1		NP_195132.3	O49498	4	16314004	16319254	1		subsumed by AT2G36490.1	1	 demeter-like protein 3 	AT4G34060.1
Y1015	AT1G01500.1	AT1G01500.1		NP_563628.1	Q8GUH2	1	185260	186573	1		canonical	9	 Erythronate-4-phosphate dehydrogenase family protein 	AT1G01500.1
AGL5	AT2G42830.1	AT2G42830.1		NP_565986.1	P29385	2	17820602	17823806	1		canonical	11	 K-box region and MADS-box transcription factor family protein 	AT2G42830.1
F4JN77	AT4G11000.1	AT4G11000.1		NP_001319900.1	F4JN77	4	6731724	6732464	1		not observed		 Ankyrin repeat family protein 	AT4G11000.1
Q9FFK9	AT5G05650.1	AT5G05650.1		NP_196184.1	Q9FFK9	5	1686532	1686909	1		not observed		 fasciclin-like arabinogalactan protein 17 precursor 	AT5G05650.1
CSC1	AT4G22120.1	AT4G22120.1		NP_001078425.1	Q5XEZ5	4	11715976	11719144	1		canonical	45	 ERD (early-responsive to dehydration stress) family protein 	AT4G22120.1
Q9M0F0	AT4G29310.1	AT4G29310.1		NP_194660.1	Q9M0F0	4	14437892	14439609	1		canonical	10	 DUF1005 family protein (DUF1005) 	AT4G29310.1
FBD5	AT1G66310.1	AT1G66310.1		NP_176805.1	Q9C8Y6	1	24722971	24724475	1		not observed		 F-box/RNI-like/FBD-like domains-containing protein 	AT1G66310.1
PUB19	AT1G60190.1	AT1G60190.1		NP_176225.1	O80742	1	22198403	22200463	1		weak	1	 ARM repeat superfamily protein 	AT1G60190.1
O22947	AT2G41730.1	AT2G41730.1		NP_181704.1	O22947	2	17409488	17409847	1		canonical	13	 calcium-binding site protein 	AT2G41730.1
Q0WSX0	AT2G02620.1	AT2G02620.1		NP_178365.2	Q0WSX0	2	717686	719227	1		not observed		 Cysteine/Histidine-rich C1 domain family protein 	AT2G02620.1
PP211	AT3G04130.1	AT3G04130.1		NP_001030630.1	Q9M8W9	3	1084136	1085662	1		canonical	16	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT3G04130.1
RTNLI	AT3G18260.1	AT3G18260.1		NP_566604.1	Q9LJQ5	3	6260328	6261504	1		canonical	6	 Reticulon family protein 	AT3G18260.1
ARI4	AT3G27720.1	AT3G27720.1		NP_189409.1	Q9LVW9	3	10271876	10273621	1		subsumed by AT4G34370.1	1	 IBR domain containing protein 	AT3G27720.1
POT12	AT1G60160.1	AT1G60160.1		NP_176222.2	O80739	1	22188330	22191395	1		canonical	24	 Potassium transporter family protein 	AT1G60160.1
O80571	AT2G44010.1	AT2G44010.1		NP_181929.1	O80571	2	18216879	18217184	1		weak	2	 hypothetical protein 	AT2G44010.1
Q8GXE7	AT5G15320.1	AT5G15320.1		NP_197036.2	Q8GXE7	5	4977647	4978658	1		canonical	8	 ATP synthase E chain 	AT5G15320.1
BLH1	AT2G35940.1	AT2G35940.1		NP_001031490.1	Q9SJ56	2	15089171	15091699	1		canonical	34	 BEL1-like homeodomain 1 	AT2G35940.1
SWET9	AT2G39060.1	AT2G39060.1		NP_181439.1	Q9ZV02	2	16306818	16308206	1		canonical	2	 Nodulin MtN3 family protein 	AT2G39060.1
	AT5G11210.1	AT5G11210.1		NP_001318537.1		5	3571231	3574568	1		canonical	2	 glutamate receptor 2.5 	AT5G11210.1
SLU7B	AT4G37120.1	AT4G37120.1		NP_568017.1	O23174	4	17486679	17489123	1		canonical	72	 Pre-mRNA splicing Prp18-interacting factor 	AT4G37120.1
F4I4V4	AT1G30455.1	AT1G30455.1		NP_001117389.1	F4I4V4	1	10769722	10770775	1		not observed		 cyclin/Brf1-like TBP-binding domain-containing protein 	AT1G30455.1
O23425	AT4G15740.1	AT4G15740.1		NP_193309.1	O23425	4	8964912	8966318	1		canonical	3	 Calcium-dependent lipid-binding (CaLB domain) family protein 	AT4G15740.1
Q949S7	AT5G15910.1	AT5G15910.1		NP_568323.1	Q949S7	5	5193207	5195202	1		canonical	31	 NAD(P)-binding Rossmann-fold superfamily protein 	AT5G15910.1
GEX1	AT5G55490.1	AT5G55490.1		NP_001318802.1	Q681K7	5	22478822	22481071	1		canonical	12	 gamete expressed protein 1 	AT5G55490.1
Q84VG5	AT3G13275.1	AT3G13275.1		NP_683562.1	Q84VG5	3	4289425	4289634	1		weak	1	 transmembrane protein 	AT3G13275.1
OBE1	AT3G07780.1	AT3G07780.1		NP_001326896.1	Q9S736	3	2485104	2486876	1		canonical	39	 potyvirus VPg interacting protein (DUF1423) 	AT3G07780.1
Q45GL6	AT3G20155.1	AT3G20155.1		NP_683576.2	Q45GL6	3	7037251	7038260	1		insufficient evidence	1	 hypothetical protein 	AT3G20155.1
ARL	AT2G44080.1	AT2G44080.1		NP_850409.1	Q8RXL7	2	18237726	18238133	1		canonical	2	 ARGOS-like protein 	AT2G44080.1
CLCG	AT5G33280.1	AT5G33280.1		NP_198313.2	P60300	5	12549280	12552305	1		canonical	20	 Voltage-gated chloride channel family protein 	AT5G33280.1
Q9ZUI4	AT1G60080.1	AT1G60080.1		NP_176216.1	Q9ZUI4	1	22152605	22154339	1		canonical	22	 3'-5'-exoribonuclease family protein 	AT1G60080.1
F4I8V6	AT1G11390.1	AT1G11390.1		NP_172606.3	F4I8V6	1	3834762	3837305	1		canonical	36	 Protein kinase superfamily protein 	AT1G11390.1
C0LGM1	AT2G37050.3	AT2G37050.3		NP_001031499.1	C0LGM1	2	15569290	15573477	1		canonical	58	 Leucine-rich repeat protein kinase family protein 	AT2G37050.3
Q8GYE4	AT2G38300.1	AT2G38300.1		NP_181364.2	Q8GYE4	2	16044175	16045679	1		subsumed by AT2G02060.1	1	 myb-like HTH transcriptional regulator family protein 	AT2G38300.1
Q9LPN9	AT3G10595.1	AT3G10595.1		NP_683547.2	Q9LPN9	3	3311905	3312815	1		not observed		 Duplicated homeodomain-like superfamily protein 	AT3G10595.1
TOM2B	AT1G32370.1	AT1G32370.1		NP_001031126.1	Q8H960	1	11677005	11677929	1		canonical	2	 tobamovirus multiplication 2B 	AT1G32370.1
Q8LCX3	AT1G06135.1	AT1G06135.1		NP_973768.1	Q8LCX3	1	1862307	1862516	1		not observed		 transmembrane protein 	AT1G06135.1
PDAT2	AT3G44830.1	AT3G44830.1		NP_190069.1	Q9FYC7	3	16368890	16372356	1		canonical	5	 Lecithin:cholesterol acyltransferase family protein 	AT3G44830.1
	AT2G27030.3	AT2G27030.3				2	11532069	11534176	1		marginally distinguished	119	 calmodulin 5 	AT2G27030.3
TAAC	AT5G01500.1	AT5G01500.1		NP_195770.1	Q9M024	5	199017	201329	1		canonical	41	 thylakoid ATP/ADP carrier 	AT5G01500.1
Q9LHM2	AT3G11990.1	AT3G11990.1		NP_566408.1	Q9LHM2	3	3817348	3817866	1		canonical	9	 ECA1 gametogenesis family protein (DUF784) 	AT3G11990.1
F4J0H5	AT3G43833.1	AT3G43833.1		NP_001030804.1	F4J0H5	3	15687706	15688632	1		subsumed by AT5G05170.1	1	 hypothetical protein 	AT3G43833.1
O64622	AT2G18920.1	AT2G18920.1		NP_179482.1	O64622	2	8197753	8198160	1		not observed		 hypothetical protein 	AT2G18920.1
A8MS30	AT3G45275.1	AT3G45275.1		NP_001078243.1	A8MS30	3	16605894	16606238	1		not observed		 ECA1 gametogenesis related family protein 	AT3G45275.1
DF278	AT1G63522.1	AT1G63522.1			Q2V4F7	1	23562291	23562596	1		canonical	2	 Defensin-like (DEFL) family protein 	AT1G63522.1
CCDA	AT5G54290.1	AT5G54290.1		NP_200240.1	Q9M5P3	5	22051097	22053923	1		canonical	7	 cytochrome c biogenesis protein family 	AT5G54290.1
LOFG2	AT3G09770.1	AT3G09770.1		NP_566356.1	Q9S752	3	2996402	2997835	1		canonical	19	 RING/U-box superfamily protein 	AT3G09770.1
Q56XZ5	AT3G59670.1	AT3G59670.1		NP_191526.2	Q56XZ5	3	22040485	22042380	1		canonical	13	 elongation factor 	AT3G59670.1
PP404	AT5G38730.1	AT5G38730.1		NP_198689.1	Q9FKR3	5	15510901	15512691	1		canonical	5	 Tetratricopeptide repeat (TPR)-like superfamily protein 	AT5G38730.1
PIN4	AT2G01420.1	AT2G01420.1		NP_565261.1	Q8RWZ6	2	180478	183199	1		canonical	23	 Auxin efflux carrier family protein 	AT2G01420.1
ATL12	AT2G20030.1	AT2G20030.1		NP_179593.1	Q9SL78	2	8647813	8648985	1		canonical	2	 RING/U-box superfamily protein 	AT2G20030.1
Q9FKS3	AT5G40830.1	AT5G40830.1		NP_001318717.1	Q9FKS3	5	16354611	16355855	1		canonical	20	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT5G40830.1
F4J085	AT3G22350.1	AT3G22350.1		NP_188874.1	F4J085	3	7901905	7903041	1		subsumed by AT4G29060.1	1	 F-box and associated interaction domains-containing protein 	AT3G22350.1
F4K4W6	AT5G55550.1	AT5G55550.1		NP_001190546.1	F4K4W6	5	22502077	22503658	1		canonical	23	 RNA-binding (RRM/RBD/RNP motifs) family protein 	AT5G55550.1
A0A1P8AXS1	AT2G47885.1	AT2G47885.1		NP_001323624.1	A0A1P8AXS1	2	19605231	19605368	1		not observed		 hypothetical protein 	AT2G47885.1
Q45GK3	AT3G51690.1	AT3G51690.1		NP_190737.2	Q45GK3	3	19176731	19178107	1		canonical	3	 PIF1 helicase 	AT3G51690.1
SURF1	AT3G17910.1	AT3G17910.1		NP_566592.1	Q9SE51	3	6133581	6136053	1		canonical	20	 Surfeit locus 1 cytochrome c oxidase biogenesis protein 	AT3G17910.1
Q7Y218	AT5G46730.1	AT5G46730.1		NP_199485.2	Q7Y218	5	18964030	18964902	1		not observed		 glycine-rich protein 	AT5G46730.1
Q9FMG0	AT5G64250.2	AT5G64250.2		NP_568988.2	Q9FMG0	5	25697623	25698945	1		canonical	47	 Aldolase-type TIM barrel family protein 	AT5G64250.2
Y1497	AT1G49730.1	AT1G49730.1		NP_001031164.1	Q9FX99	1	18402618	18405638	1		canonical	35	 Protein kinase superfamily protein 	AT1G49730.1
Q9ZUX0	AT2G27680.1	AT2G27680.1		NP_565656.1	Q9ZUX0	2	11803981	11805965	1		canonical	62	 NAD(P)-linked oxidoreductase superfamily protein 	AT2G27680.1
HEM12	AT1G09940.1	AT1G09940.1		NP_172465.1	P49294	1	3237224	3239262	1		canonical	22	 Glutamyl-tRNA reductase family protein 	AT1G09940.1
Q9C656	AT1G57906.1	AT1G57906.1		NP_176097.1	Q9C656	1	21435427	21436810	1		not observed		 F-box protein 	AT1G57906.1
A0A1P8AV80	AT1G09880.2	AT1G09880.2		NP_001322798.1	A0A1P8AV80	1	3208828	3212163	1		canonical	25	 Rhamnogalacturonate lyase family protein 	AT1G09880.2
Q8LDU0	AT4G28360.1	AT4G28360.1		NP_567805.1	Q8LDU0	4	14029294	14030926	1		canonical	35	 Ribosomal protein L22p/L17e family protein 	AT4G28360.1
14312	AT1G26480.1	AT1G26480.1		NP_564249.1	Q9C5W6	1	9156573	9157845	1		canonical	57	 general regulatory factor 12 	AT1G26480.1
U80B1	AT1G43620.1	AT1G43620.1		NP_001077674.1	Q9XIG1	1	16425654	16429500	1		canonical	35	 UDP-Glycosyltransferase superfamily protein 	AT1G43620.1
O22965	AT2G34120.1	AT2G34120.1		NP_180959.1	O22965	2	14405339	14405551	1		weak	1	 Cytochrome C oxidase polypeptide VIB family protein 	AT2G34120.1
LPAH2	AT3G45090.1	AT3G45090.1		NP_566873.1	Q93ZS1	3	16490752	16494452	1		canonical	46	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT3G45090.1
URGT1	AT1G76670.1	AT1G76670.1		NP_001319390.1	Q9SRE4	1	28772890	28774569	1		canonical	7	 Nucleotide-sugar transporter family protein 	AT1G76670.1
TRXM4	AT3G15360.1	AT3G15360.1		NP_188155.1	Q9SEU6	3	5188448	5189457	1		canonical	66	 thioredoxin M-type 4 	AT3G15360.1
MTPC2	AT3G12100.1	AT3G12100.1		NP_187817.2	Q6ICY4	3	3854741	3857270	1		canonical	10	 Cation efflux family protein 	AT3G12100.1
Q9FJX7	AT5G67460.1	AT5G67460.1		NP_201547.1	Q9FJX7	5	26921984	26923274	1		canonical	9	 O-Glycosyl hydrolases family 17 protein 	AT5G67460.1
O22189	AT2G23180.1	AT2G23180.1		NP_179899.1	O22189	2	9874953	9876503	1		canonical	28	 cytochrome P450%2C family 96%2C subfamily A%2C polypeptide 1 	AT2G23180.1
RUS4	AT2G23470.1	AT2G23470.1		NP_179928.2	Q67YT8	2	9999105	10001398	1		not observed		 root UVB sensitive protein (Protein of unknown function%2C DUF647) 	AT2G23470.1
Q0WKW1	AT3G08020.1	AT3G08020.1		NP_187459.2	Q0WKW1	3	2557753	2561534	1		canonical	51	 PHD finger family protein 	AT3G08020.1
ODPA2	AT1G24180.1	AT1G24180.1		NP_173828.1	Q8H1Y0	1	8560777	8563382	1		canonical	138	 Thiamin diphosphate-binding fold (THDP-binding) superfamily protein 	AT1G24180.1
F4IMB4	AT2G07798.1	AT2G07798.1		NP_001154503.2	F4IMB4	2	3358035	3360974	1		subsumed by AT1G08520.1	1	 hypothetical protein 	AT2G07798.1
FB275	AT5G40050.1	AT5G40050.1		NP_198821.1	Q9LUK1	5	16032083	16033551	1		insufficient evidence	1	 F-box/FBD-like domains containing protein 	AT5G40050.1
Y4094	AT4G30940.1	AT4G30940.1		NP_194823.1	O65555	4	15055149	15056474	1		canonical	9	 BTB/POZ domain with WD40/YVTN repeat-like protein 	AT4G30940.1
Q9SST3	AT4G09590.1	AT4G09590.1		NP_192697.1	Q9SST3	4	6066128	6066763	1		not observed		 NDR1/HIN1-like 22 	AT4G09590.1
AB2A	AT3G47730.1	AT3G47730.1		NP_190357.2	Q84K47	3	17594342	17598828	1		canonical	60	 ATP-binding cassette A2 	AT3G47730.1
PBL7	AT5G02800.1	AT5G02800.1		NP_195900.2	Q0WRY5	5	635545	637374	1		canonical	15	 Protein kinase superfamily protein 	AT5G02800.1
A0A1P8B1D4	AT2G05655.1	AT2G05655.1		NP_001324855.1	A0A1P8B1D4	2	2120171	2121176	1		not observed		 hypothetical protein 	AT2G05655.1
KLP	AT5G51795.1	AT5G51795.1		NP_680423.1	F4KDD7	5	21043083	21044194	1		subsumed by AT1G55460.1	5	 DNA/RNA-binding protein Kin17%2C conserved region 	AT5G51795.1
Q84JJ0	AT3G44940.1	AT3G44940.1		NP_190080.2	Q84JJ0	3	16413861	16415134	1		weak	1	 enabled-like protein (DUF1635) 	AT3G44940.1
B3GTG	AT3G06440.1	AT3G06440.1		NP_566284.1	Q9ASW1	3	1972913	1975272	1		canonical	4	 Galactosyltransferase family protein 	AT3G06440.1
Q9LKV3	AT5G28370.1	AT5G28370.1		NP_198189.1	Q9LKV3	5	10332375	10334558	1		subsumed by AT5G28460.1	68	 Pentatricopeptide repeat (PPR) superfamily protein 	AT5G28370.1
A0A1I9LQM2	AT3G58585.1	AT3G58585.1		NP_001326883.1	A0A1I9LQM2	3	21665284	21665635	1		not observed		 PPR containing protein 	AT3G58585.1
Y1669	AT1G06690.1	AT1G06690.1		NP_563770.1	Q94A68	1	2049742	2052039	1		canonical	50	 NAD(P)-linked oxidoreductase superfamily protein 	AT1G06690.1
F4HUD4	AT1G08125.1	AT1G08125.1		NP_973791.1	F4HUD4	1	2539748	2542230	1		canonical	16	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	AT1G08125.1
CRF6	AT3G61630.1	AT3G61630.1		NP_191722.1	Q9M374	3	22805274	22806221	1		canonical	5	 cytokinin response factor 6 	AT3G61630.1
Q84JK0	AT2G28240.1	AT2G28240.1		NP_180391.2	Q84JK0	2	12039649	12041970	1		canonical	23	 ATP-dependent helicase family protein 	AT2G28240.1
ACR3	AT1G76990.1	AT1G76990.1		NP_001031289.1	O49285	1	28933387	28935179	1		canonical	34	 ACT domain repeat 3 	AT1G76990.1
Q9LPI8	AT1G32760.1	AT1G32760.1		NP_174553.1	Q9LPI8	1	11858251	11859195	1		canonical	8	 Glutaredoxin family protein 	AT1G32760.1
Q94CK1	AT5G12410.1	AT5G12410.1		NP_568274.1	Q94CK1	5	4021974	4023950	1		canonical	75	 THUMP domain-containing protein 	AT5G12410.1
F4HWZ0	AT1G54590.1	AT1G54590.1		NP_175861.2	F4HWZ0	1	20391560	20393457	1		subsumed by AT1G03140.1	3	 pre-mRNA-splicing factor-like protein 	AT1G54590.1
Q93W23	AT1G63720.1	AT1G63720.1		NP_564816.1	Q93W23	1	23636122	23637348	1		canonical	3	 hydroxyproline-rich glycoprotein family protein 	AT1G63720.1
TPPF	AT4G12430.1	AT4G12430.1		NP_192980.1	Q9SU39	4	7365480	7367346	1		canonical	18	 Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 	AT4G12430.1
A0A1P8AZD7	AT2G05105.1	AT2G05105.1		NP_001324167.1	A0A1P8AZD7	2	1836841	1837441	1		not observed		 hypothetical protein 	AT2G05105.1
Q84TF6	AT1G09740.1	AT1G09740.1		NP_001318966.1	Q84TF6	1	3154603	3155834	1		canonical	26	 Adenine nucleotide alpha hydrolases-like superfamily protein 	AT1G09740.1
ALG9	AT1G16900.1	AT1G16900.1		NP_173134.2	Q9FZ49	1	5779262	5782303	1		canonical	22	 Alg9-like mannosyltransferase family 	AT1G16900.1
PME67	AT3G17060.1	AT3G17060.1		NP_188331.1	Q9LSP1	3	5816953	5818458	1		canonical	40	 Pectin lyase-like superfamily protein 	AT3G17060.1
OFUT1	AT1G04910.1	AT1G04910.1		NP_171983.2	Q8W486	1	1388101	1391074	1		canonical	31	 O-fucosyltransferase family protein 	AT1G04910.1
LUH	AT2G32700.1	AT2G32700.1		NP_001031466.2	O48847	2	13867235	13871844	1		canonical	65	 LEUNIG-like protein 	AT2G32700.1
Q9CAJ1	AT1G72790.1	AT1G72790.1		NP_177422.1	Q9CAJ1	1	27394848	27396533	1		canonical	16	 hydroxyproline-rich glycoprotein family protein 	AT1G72790.1
O80611	AT2G02960.1	AT2G02960.1		NP_001324224.1	O80611	2	862346	863980	1		weak	1	 RING/FYVE/PHD zinc finger superfamily protein 	AT2G02960.1
Q9SJN9	AT2G15420.1	AT2G15420.1		NP_179144.1	Q9SJN9	2	6723948	6728183	1		not observed		 myosin heavy chain-like protein 	AT2G15420.1
TECR	AT3G55360.1	AT3G55360.1		NP_191096.1	Q9M2U2	3	20521186	20522856	1		canonical	50	 3-oxo-5-alpha-steroid 4-dehydrogenase family protein 	AT3G55360.1
NAC71	AT4G17980.1	AT4G17980.1		NP_193532.1	O49697	4	9978850	9980038	1		not observed		 NAC domain containing protein 71 	AT4G17980.1
Q93ZH3	AT4G11790.1	AT4G11790.1		NP_567381.1	Q93ZH3	4	7090456	7093208	1		canonical	37	 Pleckstrin homology (PH) domain superfamily protein 	AT4G11790.1
BBM	AT5G17430.1	AT5G17430.1		NP_197245.2	Q6PQQ4	5	5742542	5745568	1		canonical	15	 Integrase-type DNA-binding superfamily protein 	AT5G17430.1
Q9LV95	AT5G64820.1	AT5G64820.1		NP_201287.1	Q9LV95	5	25913999	25914523	1		canonical	4	 transmembrane protein 	AT5G64820.1
KAN2	AT1G32240.1	AT1G32240.1		NP_564392.1	Q9C616	1	11625882	11630355	1		subsumed by AT5G16560.1	2	 Homeodomain-like superfamily protein 	AT1G32240.1
A0A2H1ZE55	AT2G47760.1	AT2G47760.1		NP_001318442.1	A0A2H1ZE55	2	19565119	19568221	1		canonical	4	 asparagine-linked glycosylation 3 	AT2G47760.1
GSXL5	AT1G63370.1	AT1G63370.1		NP_176526.1	Q9C8U0	1	23503205	23505358	1		marginally distinguished	21	 Flavin-binding monooxygenase family protein 	AT1G63370.1
Q3EAQ8	AT3G43583.1	AT3G43583.1		NP_974380.1	Q3EAQ8	3	15506774	15507076	1		not observed		 hypothetical protein 	AT3G43583.1
SBT49	AT5G58840.1	AT5G58840.1		NP_568890.2	Q9FIM5	5	23759043	23761947	1		canonical	29	 Subtilase family protein 	AT5G58840.1
A7REE4	AT1G21925.1	AT1G21925.1		NP_001077578.1	A7REE4	1	7710423	7710725	1		indistinguishable representative	1	 Plant thionin family protein 	AT1G21925.1
Q3E6Q4	AT5G49015.1	AT5G49015.1		NP_001032041.1	Q3E6Q4	5	19869690	19870208	1		not observed		 Expressed protein 	AT5G49015.1
VP602	AT5G04850.1	AT5G04850.1		NP_568143.1	Q9FMC5	5	1408246	1409806	1		canonical	21	 SNF7 family protein 	AT5G04850.1
F4K599	AT5G06905.1	AT5G06905.1		NP_680150.1	F4K599	5	2138438	2140078	1		canonical	14	 cytochrome P450%2C family 712%2C subfamily A%2C polypeptide 2 	AT5G06905.1
PBL26	AT3G07070.1	AT3G07070.1		NP_566298.1	Q9SFT7	3	2238455	2240074	1		canonical	17	 Protein kinase superfamily protein 	AT3G07070.1
Q9C5C7	AT3G24530.1	AT3G24530.1		NP_566752.1	Q9C5C7	3	8945678	8947786	1		canonical	34	 AAA-type ATPase family protein / ankyrin repeat family protein 	AT3G24530.1
PRK3	AT3G42880.1	AT3G42880.1		NP_189874.1	Q9M1L7	3	14954587	14956577	1		canonical	46	 Leucine-rich repeat protein kinase family protein 	AT3G42880.1
Q94EW8	AT5G26731.1	AT5G26731.1		NP_568485.1	Q94EW8	5	9295676	9295975	1		not observed		 hypothetical protein 	AT5G26731.1
PILR1	AT1G32100.1	AT1G32100.1		NP_174490.1	Q9FVQ6	1	11546472	11547953	1		canonical	18	 pinoresinol reductase 1 	AT1G32100.1
GNTK	AT2G16790.1	AT2G16790.1		NP_001325317.1	Q9SLE0	2	7284093	7284901	1		canonical	8	 P-loop containing nucleoside triphosphate hydrolases superfamily protein 	AT2G16790.1
A0A1P8BD86	AT5G60265.1	AT5G60265.1		NP_001331223.1	A0A1P8BD86	5	24256375	24257699	1		not observed		 hypothetical protein 	AT5G60265.1
Q93VI9	AT4G27390.1	AT4G27390.1		NP_567772.1	Q93VI9	4	13703417	13704655	1		canonical	9	 transmembrane protein 	AT4G27390.1
Q9LTX1	AT3G12640.2	AT3G12640.2		NP_001325953.1	Q9LTX1	3	4014455	4017675	1		canonical	57	 RNA binding (RRM/RBD/RNP motifs) family protein 	AT3G12640.2
F4HZ96	AT1G02965.1	AT1G02965.1		NP_683271.1	F4HZ96	1	671661	672814	1		not observed		 hypothetical protein 	AT1G02965.1
DPE2	AT2G40840.1	AT2G40840.1		NP_181616.3	Q8RXD9	2	17045368	17050779	1		canonical	162	 disproportionating enzyme 2 	AT2G40840.1
Q940V1	AT4G39960.1	AT4G39960.1		NP_001329618.1	Q940V1	4	18534194	18536320	1		canonical	92	 Molecular chaperone Hsp40/DnaJ family protein 	AT4G39960.1
Q8LG56	AT1G05205.1	AT1G05205.1		NP_563730.1	Q8LG56	1	1509352	1510249	1		canonical	11	 hexokinase-1 protein 	AT1G05205.1
TBB8	AT5G23860.1	AT5G23860.1		NP_001190373.1	P29516	5	8042962	8044528	1		canonical	305	 tubulin beta 8 	AT5G23860.1
Q940J7	AT4G40045.1	AT4G40045.1		NP_568078.1	Q940J7	4	18559926	18560348	1		canonical	3	 transmembrane protein 	AT4G40045.1
Y4323	AT4G13230.1	AT4G13230.1		NP_567398.1	Q8LFD5	4	7675841	7676629	1		canonical	27	 Late embryogenesis abundant protein (LEA) family protein 	AT4G13230.1
ERF27	AT1G12630.1	AT1G12630.1		NP_172723.2	Q38Q39	1	4298897	4299475	1		not observed		 Integrase-type DNA-binding superfamily protein 	AT1G12630.1
A0A1P8B8B5	AT4G12740.2	AT4G12740.2		NP_001329635.1	A0A1P8B8B5	4	7494711	7497596	1		canonical	10	 HhH-GPD base excision DNA repair family protein 	AT4G12740.2
Q9FI15	AT5G44500.1	AT5G44500.1		NP_001032011.1	Q9FI15	5	17927505	17928269	1		canonical	19	 Small nuclear ribonucleoprotein family protein 	AT5G44500.1
Q9LZ28	AT5G04690.1	AT5G04690.1		NP_196089.1	Q9LZ28	5	1349781	1352525	1		weak	1	 Ankyrin repeat family protein 	AT5G04690.1
LOX3	AT1G17420.1	AT1G17420.1		NP_564021.1	Q9LNR3	1	5977512	5981384	1		canonical	46	 lipoxygenase 3 	AT1G17420.1
